,implementation,nb_threads,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
0,sleep(t_sleep_before),1,None,0,1612651570.9570084,1612651574.9611428,4.004138253999827,0.010455384462788252
18,sleep(t_sleep_before),1,None,9,1612653320.5390484,1612653324.5431254,4.0040811349999785,0.010455235316813348
16,sleep(t_sleep_before),1,None,8,1612653195.1670406,1612653199.1711383,4.004100282999843,0.010455285315012107
14,sleep(t_sleep_before),1,None,7,1612652975.0046434,1612652979.0087862,4.004132907999974,0.01045537050360896
13,nbabel5_threads.jl,1,julia,6,1612652574.4639435,1612652957.5610518,383.09710617500014,1.0003219862950845
12,sleep(t_sleep_before),1,None,6,1612652568.4577677,1612652572.4618378,4.0040739629998825,0.010455216589683161
22,sleep(t_sleep_before),1,None,11,1612653495.4422283,1612653499.4463112,4.004084313999556,0.010455243617641313
20,sleep(t_sleep_before),1,None,10,1612653416.0724788,1612653420.0765545,4.004066951999448,0.01045519828294639
10,sleep(t_sleep_before),1,None,5,1612652497.9162652,1612652501.920356,4.004096793999906,0.010455276204728341
6,sleep(t_sleep_before),1,None,3,1612652322.987981,1612652326.9920697,4.004092390000096,0.010455264705247488
4,sleep(t_sleep_before),1,None,2,1612652197.559701,1612652201.5637891,4.004090799000096,0.010455260550916235
2,sleep(t_sleep_before),1,None,1,1612651977.5010023,1612651981.5050719,4.004071318000115,0.010455209683205981
1,nbabel5_threads.jl,1,julia,0,1612651576.963256,1612651959.937051,382.9737938620001,1.0
8,sleep(t_sleep_before),1,None,4,1612652418.4366,1612652422.4407349,4.004138724000313,0.010455385690027541
3,nbabel5_threads.jl,2,julia,1,1612651983.507191,1612652182.7304778,199.22328486100014,0.5202008285005209
15,nbabel5_threads.jl,2,julia,7,1612652981.0109067,1612653180.3102844,199.2993750759997,0.5203995110637121
5,nbabel5_threads.jl,4,julia,2,1612652203.5659134,1612652308.966755,105.40083915900004,0.2752168447248376
17,nbabel5_threads.jl,4,julia,8,1612653201.1732314,1612653306.4657815,105.29254790699997,0.27493408059388225
7,nbabel5_threads.jl,6,julia,3,1612652328.9941878,1612652404.8363829,75.84219236900026,0.19803494020880463
19,nbabel5_threads.jl,6,julia,9,1612653326.5452182,1612653402.4411144,75.89589360799982,0.1981751619155121
9,nbabel5_threads.jl,8,julia,4,1612652424.4428382,1612652484.4591625,60.01632133599969,0.1567113006108868
21,nbabel5_threads.jl,8,julia,10,1612653422.0786538,1612653482.0068178,59.92816303099971,0.15648110651820238
11,nbabel5_threads.jl,12,julia,5,1612652503.922449,1612652548.9327688,45.01031716300031,0.11752845203611824
23,nbabel5_threads.jl,12,julia,11,1612653501.4483697,1612653547.169939,45.721566612999595,0.11938562728256753
