,implementation,nb_threads,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
0,sleep(t_sleep_before),1,None,0,1611608177.0902274,1611608181.0943542,4.004128214000048,0.15377337561490076
26,sleep(t_sleep_before),1,None,13,1611608642.4781072,1611608646.4821768,4.004070939000485,0.15377117604247192
24,sleep(t_sleep_before),1,None,12,1611608611.9461844,1611608615.95029,4.004094941000403,0.1537720978082975
22,sleep(t_sleep_before),1,None,11,1611608580.3630528,1611608584.3671703,4.004119086000173,0.15377302506584783
20,sleep(t_sleep_before),1,None,10,1611608546.7562585,1611608550.7603574,4.004100670999833,0.15377231786152945
18,sleep(t_sleep_before),1,None,9,1611608506.930323,1611608510.9344032,4.004081086000042,0.15377156572489237
17,nbabel5_threads.jl,1,julia,8,1611608463.4599688,1611608489.499124,26.03915143300037,1.0
16,sleep(t_sleep_before),1,None,8,1611608457.4538164,1611608461.457886,4.00407142199947,0.1537711945914245
30,sleep(t_sleep_before),1,None,15,1611608702.5914805,1611608706.595558,4.0040784479997455,0.15377146441589606
28,sleep(t_sleep_before),1,None,14,1611608672.5490112,1611608676.5531147,4.0041052640008274,0.1537724942498041
12,sleep(t_sleep_before),1,None,6,1611608391.8680007,1611608395.8720891,4.004086826000275,0.15377178616219228
14,sleep(t_sleep_before),1,None,7,1611608421.638834,1611608425.6429195,4.0040843029992175,0.15377168926959328
10,sleep(t_sleep_before),1,None,5,1611608361.8424985,1611608365.8465865,4.004086644000381,0.15377177917272125
1,nbabel5_threads.jl,1,julia,0,1611608183.0964634,1611608209.1911528,26.094685984000535,1.0021327327483407
2,sleep(t_sleep_before),1,None,1,1611608226.694314,1611608230.6984,4.0040846730007615,0.153771703479025
6,sleep(t_sleep_before),1,None,3,1611608300.011232,1611608304.0153134,4.004083760999492,0.15377166845479343
4,sleep(t_sleep_before),1,None,2,1611608266.2587872,1611608270.2628686,4.0040713719999985,0.15377119267125933
8,sleep(t_sleep_before),1,None,4,1611608331.455894,1611608335.459969,4.00407462900057,0.1537713177521622
19,nbabel5_threads.jl,2,julia,9,1611608512.9364896,1611608531.9275894,18.99109656699966,0.7293285503509744
3,nbabel5_threads.jl,2,julia,1,1611608232.7005334,1611608251.4549427,18.75440589200025,0.7202387504929252
5,nbabel5_threads.jl,4,julia,2,1611608272.2649724,1611608285.9121034,13.64712746799978,0.5241003149858515
21,nbabel5_threads.jl,4,julia,10,1611608552.7624645,1611608566.2654204,13.502952456000457,0.5185634597480651
23,nbabel5_threads.jl,6,julia,11,1611608586.3692603,1611608598.2841442,11.914880271000584,0.45757559733303826
7,nbabel5_threads.jl,6,julia,3,1611608306.017411,1611608317.822127,11.804714363999665,0.4533448178744841
9,nbabel5_threads.jl,8,julia,4,1611608337.462063,1611608348.4010258,10.93895891000011,0.42009659716240855
25,nbabel5_threads.jl,8,julia,12,1611608617.9523778,1611608628.9628518,11.010470374999386,0.4228429026702235
11,nbabel5_threads.jl,12,julia,5,1611608367.8486755,1611608378.4321718,10.583492621000005,0.4064453731617059
27,nbabel5_threads.jl,12,julia,13,1611608648.4842527,1611608659.0565617,10.57230535799954,0.40601574076645486
13,nbabel5_threads.jl,16,julia,6,1611608397.8741863,1611608408.4355767,10.561387133000608,0.4055964404283841
29,nbabel5_threads.jl,16,julia,14,1611608678.555202,1611608689.2317913,10.676586104999842,0.41002050825162506
15,nbabel5_threads.jl,24,julia,7,1611608427.6450422,1611608437.8060317,10.160986075999972,0.3902195546634666
31,nbabel5_threads.jl,24,julia,15,1611608708.5976334,1611608718.8441775,10.246540524000011,0.39350516280704123
