,implementation,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
19,c++ nbabel.org,cpp,9,1611477641.3970687,1611477738.1488254,96.75175453801057,2.848315559220341
3,c++ nbabel.org,cpp,1,1611476274.1822574,1611476370.9287956,96.74653605301864,2.8481619300477328
15,fortran nbabel.org,fortran,7,1611477368.708364,1611477414.0412347,45.332867887977045,1.334573347697558
31,fortran nbabel.org,fortran,15,1611478731.097415,1611478776.6877441,45.59032737099915,1.3421528056088106
17,julia nbabel.org,julia,8,1611477476.932329,1611477525.4608545,48.52852288997383,1.4286515781911642
1,julia nbabel.org,julia,0,1611476109.7003362,1611476158.1988854,48.49854518199572,1.4277690518486548
9,julia optimized,julia,4,1611476871.283928,1611476897.3652678,26.08133761701174,0.76781945810221
25,julia optimized,julia,12,1611478237.2664635,1611478263.264694,25.99822870598291,0.765372779946102
7,numba,py,3,1611476779.8783348,1611476833.1450322,53.26669544100878,1.568140631013266
23,numba,py,11,1611478145.9370594,1611478199.2014973,53.26443579199258,1.56807410825632
5,pypy,py,2,1611476560.585702,1611476711.4251814,150.8394785769924,4.440626796144973
21,pypy,py,10,1611477925.571473,1611478077.3534648,151.78199050299008,4.468373800800225
27,pythran,py,13,1611478312.465375,1611478346.8727415,34.40736343499157,1.0129328309507128
11,pythran,py,5,1611476946.4967122,1611476980.4647753,33.96806025400292,1.0
29,pythran high-level jit,py,14,1611478525.477419,1611478671.2031665,145.72574584098766,4.290081469218272
13,pythran high-level jit,py,6,1611477166.0292227,1611477308.4712982,142.44207238699892,4.19341202652904
28,sleep(t_sleep_before),py,14,1611478519.4712424,1611478523.475325,4.004073090007296,0.11787759030295059
26,sleep(t_sleep_before),py,13,1611478306.4591632,1611478310.4632564,4.0040970080008265,0.11787829443481304
24,sleep(t_sleep_before),julia,12,1611478231.260264,1611478235.2643852,4.004124238999793,0.11787909609963473
22,sleep(t_sleep_before),py,11,1611478139.9308345,1611478143.934962,4.004131430003326,0.11787930779860957
4,sleep(t_sleep_before),py,2,1611476554.5795565,1611476558.5836074,4.004054597986396,0.11787704590857653
18,sleep(t_sleep_before),cpp,9,1611477635.3908958,1611477639.3949816,4.004087868001079,0.11787802535851963
2,sleep(t_sleep_before),cpp,1,1611476268.176141,1611476272.1802225,4.00408387198695,0.11787790771818046
16,sleep(t_sleep_before),julia,8,1611477470.9261498,1611477474.930235,4.004086444998393,0.11787798346614557
30,sleep(t_sleep_before),fortran,15,1611478725.0912633,1611478729.0953248,4.004062785999849,0.11787728695894538
14,sleep(t_sleep_before),fortran,7,1611477362.702162,1611477366.70625,4.004090970003745,0.11787811667967964
12,sleep(t_sleep_before),py,6,1611477160.0230584,1611477164.0271413,4.004088224988664,0.11787803586802714
10,sleep(t_sleep_before),py,5,1611476940.4904926,1611476944.4946187,4.004128911008593,0.11787923364086507
8,sleep(t_sleep_before),julia,4,1611476865.2777498,1611476869.2818303,4.004083587991772,0.11787789935752709
6,sleep(t_sleep_before),py,3,1611476773.8721328,1611476777.876222,4.0040913819975685,0.11787812880853894
20,sleep(t_sleep_before),py,10,1611477919.56528,1611477923.5693715,4.004095694981515,0.11787825578028578
0,sleep(t_sleep_before),julia,0,1611476103.6941419,1611476107.6982622,4.0041101520182565,0.11787868138706559
