,implementation,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
21,c++ nbabel.org,cpp,10,1611567179.4652517,1611567198.4420366,18.97678245299994,3.2234211464436853
3,c++ nbabel.org,cpp,1,1611566961.6718652,1611566980.6235888,18.95172075900018,3.2191641342444566
17,fortran nbabel.org,fortran,8,1611567134.202695,1611567143.4425101,9.239811269000029,1.5694864557471377
35,fortran nbabel.org,fortran,17,1611567348.962525,1611567358.1787639,9.216236311000102,1.5654819824739845
19,julia nbabel.org,julia,9,1611567156.5852606,1611567169.0248425,12.43957837500011,2.1130030913370166
1,julia nbabel.org,julia,0,1611566938.7832267,1611566951.2317266,12.448495909999792,2.114517835523146
29,julia optimized,julia,14,1611567272.9400156,1611567280.2329206,7.29290306699977,1.2387820761161117
11,julia optimized,julia,5,1611567056.23163,1611567063.5130274,7.281394134000038,1.2368271536683142
27,numba,py,13,1611567253.198329,1611567259.9110267,6.712694487000135,1.1402270860512271
9,numba,py,4,1611567036.2998848,1611567042.9898539,6.689965037000093,1.1363662318754135
23,pypy,py,11,1611567208.9926023,1611567223.1660776,14.173472391999894,2.4075246022376033
5,pypy,py,2,1611566991.175916,1611567005.3360345,14.160115541000096,2.4052557900156537
7,pypy map-improvements,py,3,1611567015.8092656,1611567023.9335153,8.124245440000095,1.3799949815019923
25,pypy map-improvements,py,12,1611567233.637701,1611567241.7292962,8.091591996999796,1.3744484248645832
31,pythran,py,15,1611567291.4926033,1611567297.3797624,5.8871557859997665,1.0
13,pythran,py,6,1611567075.9622047,1611567081.95596,5.993751793000001,1.018106537498758
33,pythran high-level jit,py,16,1611567310.0086513,1611567338.7356653,28.727010689000053,4.879607697373271
15,pythran high-level jit,py,7,1611567095.0086968,1611567123.9300747,28.921373394000057,4.912622401258332
32,sleep(t_sleep_before),py,16,1611567304.002474,1611567308.0065496,4.004077657999915,0.680137880421307
30,sleep(t_sleep_before),py,15,1611567285.4864147,1611567289.4905019,4.004088151999895,0.6801396629459014
28,sleep(t_sleep_before),julia,14,1611567266.9343927,1611567270.9379497,4.003560409999864,0.6800500199978948
26,sleep(t_sleep_before),py,13,1611567247.1921663,1611567251.196248,4.004085373999715,0.6801391910711488
24,sleep(t_sleep_before),py,12,1611567227.631537,1611567231.6356137,4.00406779099967,0.6801362043997096
4,sleep(t_sleep_before),py,2,1611566985.1696994,1611566989.1738126,4.00411450699994,0.6801441396407611
20,sleep(t_sleep_before),cpp,10,1611567173.459102,1611567177.4631557,4.004054162000102,0.6801338893599751
2,sleep(t_sleep_before),cpp,1,1611566955.6657035,1611566959.6698227,4.004121346999909,0.6801453014921233
18,sleep(t_sleep_before),julia,9,1611567150.5790417,1611567154.5831428,4.004101182000113,0.6801418762388212
34,sleep(t_sleep_before),fortran,17,1611567342.9563322,1611567346.960414,4.004082929000106,0.6801387757603098
16,sleep(t_sleep_before),fortran,8,1611567128.1964853,1611567132.2006,4.004117268000073,0.6801446086278634
14,sleep(t_sleep_before),py,7,1611567089.002513,1611567093.0066023,4.004078727999968,0.6801380621729187
12,sleep(t_sleep_before),py,6,1611567069.956002,1611567073.9600868,4.0040741770001205,0.6801372891341183
10,sleep(t_sleep_before),julia,5,1611567050.2254412,1611567054.2295263,4.004088941999953,0.6801397971363471
8,sleep(t_sleep_before),py,4,1611567030.2936847,1611567034.2977743,4.004092869000033,0.680140464181729
6,sleep(t_sleep_before),py,3,1611567009.8030674,1611567013.8071523,4.004087727999831,0.6801395909246948
22,sleep(t_sleep_before),py,11,1611567202.9864411,1611567206.9905179,4.004067339999892,0.680136127792296
0,sleep(t_sleep_before),julia,0,1611566932.7770514,1611566936.781145,4.00409737699988,0.6801412299164932
