,implementation,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
19,c++ nbabel.org,cpp,9,1611314039.6908946,1611314068.8069427,29.116041727000265,3.4377753808099185
3,c++ nbabel.org,cpp,1,1611313808.3143878,1611313837.4414961,29.127103281999553,3.439081435451775
15,fortran nbabel.org,fortran,7,1611313990.5810306,1611314004.7583797,14.177343418999953,1.6739405248869637
31,fortran nbabel.org,fortran,15,1611314217.5394688,1611314231.7129447,14.173470676998477,1.673483264341944
17,julia nbabel.org,julia,8,1611314014.9279115,1611314032.2537189,17.32580099399911,2.045683704826819
1,julia nbabel.org,julia,0,1611313783.552388,1611313800.876883,17.324489538999842,2.0455288593381433
9,julia optimized,julia,4,1611313903.3568692,1611313912.9738438,9.616967963000207,1.135490050853351
25,julia optimized,julia,12,1611314131.1090353,1611314140.7163699,9.6073285450002,1.1343519100924444
7,numba,py,3,1611313883.6665347,1611313893.3053062,9.638764720999461,1.1380636272595774
23,numba,py,11,1611314111.3708792,1611314121.0683076,9.697421821999342,1.1449893604900006
5,pypy,py,2,1611313848.806583,1611313873.9189594,25.112369434000357,2.9650556969065147
21,pypy,py,10,1611314078.0633028,1611314102.9154294,24.852121530999284,2.934327830727685
27,pythran,py,13,1611314148.9687846,1611314157.4382346,8.469442736000019,1.0
11,pythran,py,5,1611313921.2481759,1611313929.7334874,8.48530510099954,1.0018728935886296
29,pythran high-level jit,py,14,1611314167.130325,1611314210.3153431,43.185012638000444,5.098920198661857
13,pythran high-level jit,py,6,1611313940.0090988,1611313983.2954364,43.28633022900067,5.11088292090444
28,sleep(t_sleep_before),py,14,1611314163.1262405,1611314167.1303182,4.004079995000211,0.47276782189937483
26,sleep(t_sleep_before),py,13,1611314144.9646852,1611314148.9687736,4.004092727999705,0.4727693253040132
24,sleep(t_sleep_before),julia,12,1611314127.1082134,1611314131.10902,4.000804784999673,0.4723811128675496
22,sleep(t_sleep_before),py,11,1611314107.3667846,1611314111.370872,4.00408920100017,0.4727689088658077
4,sleep(t_sleep_before),py,2,1611313844.8024843,1611313848.8065774,4.004095284999494,0.47276962721287175
18,sleep(t_sleep_before),cpp,9,1611314035.686781,1611314039.6908772,4.0040923159995145,0.4727692766585234
2,sleep(t_sleep_before),cpp,1,1611313804.3103127,1611313808.3143854,4.004074360999766,0.4727671566843636
16,sleep(t_sleep_before),julia,8,1611314010.9237537,1611314014.927902,4.004137992999858,0.472774669811505
30,sleep(t_sleep_before),fortran,15,1611314213.5353577,1611314217.5394614,4.004105375999643,0.47277081867262466
14,sleep(t_sleep_before),fortran,7,1611313986.5769346,1611313990.5810235,4.004090674000508,0.4727690827852005
12,sleep(t_sleep_before),py,6,1611313936.0050335,1611313940.0090954,4.004051403999256,0.47276444611635743
10,sleep(t_sleep_before),py,5,1611313917.2440746,1611313921.248159,4.004082136999386,0.47276807480847904
8,sleep(t_sleep_before),julia,4,1611313899.3527708,1611313903.356861,4.004078708000634,0.4727676699413751
6,sleep(t_sleep_before),py,3,1611313879.662445,1611313883.6665313,4.0040885600001275,0.4727688331819566
20,sleep(t_sleep_before),py,10,1611314074.0591602,1611314078.063295,4.0041362919992025,0.4727744689717675
0,sleep(t_sleep_before),julia,0,1611313779.5482924,1611313783.5523758,4.004084979999789,0.4727684104858655
