,implementation,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
19,c++ nbabel.org,cpp,9,1611433180.976135,1611433277.7479005,96.77176309500646,2.8577654720803127
3,c++ nbabel.org,cpp,1,1611431825.8608873,1611431922.6418827,96.78099380800268,2.85803806412617
15,fortran nbabel.org,fortran,7,1611432908.2183917,1611432953.7228148,45.50442060000205,1.343790356387712
31,fortran nbabel.org,fortran,15,1611434271.7801492,1611434317.1140294,45.33387877300265,1.3387540882744
17,julia nbabel.org,julia,8,1611433016.616096,1611433065.0398335,48.423735317992396,1.4300005951638532
1,julia nbabel.org,julia,0,1611431661.446785,1611431709.9171243,48.47033714900317,1.4313767931304808
9,julia optimized,julia,4,1611432417.9288337,1611432443.952364,26.02352784300456,0.7685004070706719
25,julia optimized,julia,12,1611433773.8265593,1611433799.8765676,26.05000630900031,0.7692823422494494
7,numba,py,3,1611432326.607993,1611432379.8183296,53.21033387100033,1.5713535646252674
23,numba,py,11,1611433682.3394747,1611433735.686485,53.347008137003286,1.5753896903071125
5,pypy,py,2,1611432108.5923784,1611432258.3353817,149.74298896799155,4.4220579420332085
21,pypy,py,10,1611433464.9979773,1611433614.0320804,149.0341012269928,4.4011237888772055
27,pythran,py,13,1611433848.5434432,1611433882.5273874,33.983941854996374,1.0035792728406436
11,pythran,py,5,1611432492.9783933,1611432526.8411338,33.86273787700338,1.0
29,pythran high-level jit,py,14,1611434061.1274073,1611434211.8001678,150.67275772198627,4.4495149290427
13,pythran high-level jit,py,6,1611432705.9699402,1611432848.353851,142.38390868999704,4.204737053665462
28,sleep(t_sleep_before),py,14,1611434055.1212118,1611434059.125317,4.004108604000066,0.11824527061408427
26,sleep(t_sleep_before),py,13,1611433842.5372937,1611433846.5413563,4.00406615799875,0.11824401714186147
24,sleep(t_sleep_before),julia,12,1611433767.8204184,1611433771.8244863,4.0040706009895075,0.11824414834775433
22,sleep(t_sleep_before),py,11,1611433676.3332555,1611433680.3373768,4.00412513500487,0.11824575879093704
4,sleep(t_sleep_before),py,2,1611432102.586147,1611432106.5902445,4.004101129001356,0.11824504987001042
18,sleep(t_sleep_before),cpp,9,1611433174.9699051,1611433178.9740086,4.004105155006982,0.11824516876192168
2,sleep(t_sleep_before),cpp,1,1611431819.8547206,1611431823.8587925,4.004062451000209,0.11824390767054364
16,sleep(t_sleep_before),julia,8,1611433010.6099002,1611433014.6139917,4.0040847809868865,0.11824456709704242
30,sleep(t_sleep_before),fortran,15,1611434265.7739453,1611434269.7780466,4.004090214992175,0.11824472756857039
14,sleep(t_sleep_before),fortran,7,1611432902.21216,1611432906.2162669,4.004120339988731,0.11824561718938799
12,sleep(t_sleep_before),py,6,1611432699.9637244,1611432703.967847,4.0041264059982495,0.11824579632462331
10,sleep(t_sleep_before),py,5,1611432486.9721882,1611432490.976285,4.004104065010324,0.11824513657324685
8,sleep(t_sleep_before),julia,4,1611432411.9226594,1611432415.9267383,4.004084079002496,0.11824454636675201
6,sleep(t_sleep_before),py,3,1611432320.6018083,1611432324.6058993,4.0040844089962775,0.11824455611179338
20,sleep(t_sleep_before),py,10,1611433458.9917564,1611433462.9958632,4.004107882006792,0.11824524929291182
0,sleep(t_sleep_before),julia,0,1611431655.4406078,1611431659.4446943,4.004087951005204,0.1182446607108054
