,implementation,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
29,c++ nbabel.org,cpp,14,1612477825.213558,1612478470.0767078,644.8631479729993,3.604993795018573
13,c++ nbabel.org,cpp,6,1612474388.294765,1612475046.7568746,658.4621049109992,3.681016367457876
27,fortran nbabel.org,fortran,13,1612477440.4703422,1612477762.404468,321.9341222719995,1.7997159813571832
11,fortran nbabel.org,fortran,5,1612474005.2742589,1612474324.5406806,319.26641771399954,1.7848026491117883
25,julia low-level,julia,12,1612477167.6645105,1612477406.5660822,238.90156944999944,1.3355371262795548
9,julia low-level,julia,4,1612473734.9880793,1612473971.6025996,236.61451846199998,1.3227517707408716
1,julia optimized,julia,0,1612472717.479379,1612472872.848693,155.3693111779994,0.86856475593865
17,julia optimized,julia,8,1612476143.4385045,1612476299.1456366,155.70712799899957,0.8704532613484979
7,numba,py,3,1612473459.5485668,1612473669.5141914,209.96562179100147,1.1737758098024693
23,numba,py,11,1612476890.9653041,1612477102.241202,211.27589497900044,1.1811006611718846
5,pypy map-improvements,py,2,1612473118.6667619,1612473399.3272028,280.66043652200096,1.5689827141608985
21,pypy map-improvements,py,10,1612476549.509555,1612476833.8100429,284.3004867039999,1.589331773276635
3,pythran,py,1,1612472908.6399715,1612473087.5204904,178.88051537400133,1.0
19,pythran,py,9,1612476336.0120246,1612476517.696995,181.68496601100014,1.0156777871035048
15,pythran high-level jit,py,7,1612475156.3455245,1612476115.9173307,959.571801480999,5.364317066477237
31,pythran high-level jit,py,15,1612478576.265824,1612479569.8025053,993.5366791519991,5.5541917300200305
16,sleep(t_sleep_before),julia,8,1612476137.4323273,1612476141.4364111,4.004086806000487,0.02238414171397476
14,sleep(t_sleep_before),py,7,1612475150.3415997,1612475154.3434377,4.00184299600005,0.022371598089557396
18,sleep(t_sleep_before),py,9,1612476330.0058484,1612476334.009932,4.004085552000106,0.022384134703706603
12,sleep(t_sleep_before),cpp,6,1612474382.2886124,1612474386.2926826,4.00406039399968,0.022383994062338406
20,sleep(t_sleep_before),py,10,1612476543.5033486,1612476547.5074718,4.004226564000419,0.022384923006446105
10,sleep(t_sleep_before),fortran,5,1612473999.2680426,1612474003.2721617,4.004198160000669,0.02238476421889068
22,sleep(t_sleep_before),py,11,1612476884.9590743,1612476888.963201,4.004206712999803,0.022384812032925184
8,sleep(t_sleep_before),julia,4,1612473728.9819112,1612473732.985993,4.004083386000275,0.02238412259506623
24,sleep(t_sleep_before),julia,12,1612477161.6582448,1612477165.662414,4.0042464369998925,0.02238503410294777
6,sleep(t_sleep_before),py,3,1612473453.542301,1612473457.5464714,4.004285823999453,0.022385254289028284
26,sleep(t_sleep_before),fortran,13,1612477434.4639595,1612477438.4682114,4.0043657580008585,0.022385701145977672
4,sleep(t_sleep_before),py,2,1612473112.6600635,1612473116.664637,4.004503559999648,0.022386471503769306
28,sleep(t_sleep_before),cpp,14,1612477819.207396,1612477823.2114677,4.00407724499928,0.022384088264882293
2,sleep(t_sleep_before),py,1,1612472902.6337774,1612472906.6378706,4.004096207998373,0.022384194274187183
30,sleep(t_sleep_before),py,15,1612478570.259647,1612478574.2637243,4.004083373998583,0.022384122527972884
0,sleep(t_sleep_before),julia,0,1612472711.4731781,1612472715.4772556,4.004079714999534,0.022384102072983466
