,implementation,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
19,c++ nbabel.org,cpp,9,1611429590.3913314,1611429770.3086355,179.9173024900083,3.240880787713354
3,c++ nbabel.org,cpp,1,1611427759.344962,1611427939.1955967,179.85063202299352,3.239679841319284
15,fortran nbabel.org,fortran,7,1611429236.4526515,1611429322.3561652,85.9035108859971,1.5473944649821216
31,fortran nbabel.org,fortran,15,1611431072.2722704,1611431158.2084653,85.93619259900879,1.5479831662039791
17,julia nbabel.org,julia,8,1611429385.2999809,1611429474.1147606,88.81477661899407,1.5998355868276546
1,julia nbabel.org,julia,0,1611427555.0118337,1611427643.4191465,88.4073098420049,1.5924958188848297
9,julia optimized,julia,4,1611428588.109404,1611428633.1434722,45.034065240994096,0.8112062309308625
25,julia optimized,julia,12,1611430417.4644623,1611430462.3052554,44.84079050600121,0.8077247404531825
7,numba,py,3,1611428473.9332566,1611428549.9179585,75.98469874399598,1.3687252249309343
23,numba,py,11,1611430303.2363632,1611430379.1838791,75.9475139270071,1.3680554085358125
5,pypy,py,2,1611428128.0982156,1611428405.4589245,277.3607061060029,4.996145291448412
21,pypy,py,10,1611429958.150983,1611430234.8947167,276.7437308910012,4.985031612590841
27,pythran,py,13,1611430511.295827,1611430566.8107696,55.514940003995434,1.0
11,pythran,py,5,1611428682.141643,1611428737.6730132,55.531367456991575,1.000295910488149
29,pythran high-level jit,py,14,1611430751.870018,1611431012.4204564,260.550435593992,4.693339046664557
13,pythran high-level jit,py,6,1611428916.1105578,1611429176.4052777,260.2947195480083,4.6887327902952745
28,sleep(t_sleep_before),py,14,1611430745.8638039,1611430749.8679063,4.004104903011466,0.07212661857732872
26,sleep(t_sleep_before),py,13,1611430505.2896616,1611430509.293734,4.004076819997863,0.0721261127132568
24,sleep(t_sleep_before),julia,12,1611430411.4582891,1611430415.4623857,4.0040966259985,0.0721264694820948
22,sleep(t_sleep_before),py,11,1611430297.230216,1611430301.234279,4.004066745008458,0.0721259312307693
4,sleep(t_sleep_before),py,2,1611428122.0920591,1611428126.096148,4.004091433002031,0.07212637593977145
18,sleep(t_sleep_before),cpp,9,1611429584.385163,1611429588.3892446,4.004096780001419,0.0721264722561754
2,sleep(t_sleep_before),cpp,1,1611427753.3387928,1611427757.3428586,4.004068248003023,0.0721259583044645
16,sleep(t_sleep_before),julia,8,1611429379.293798,1611429383.2978897,4.004091501003131,0.07212637716468676
30,sleep(t_sleep_before),fortran,15,1611431066.2660666,1611431070.2701702,4.004099584009964,0.0721265227652554
14,sleep(t_sleep_before),fortran,7,1611429230.4464335,1611429234.4505324,4.00409063299594,0.07212636152912646
12,sleep(t_sleep_before),py,6,1611428910.1044283,1611428914.1084998,4.004074734999449,0.07212607515582785
10,sleep(t_sleep_before),py,5,1611428676.1354644,1611428680.1395502,4.00409177999245,0.07212638219016852
8,sleep(t_sleep_before),julia,4,1611428582.1032212,1611428586.1073105,4.0040891590033425,0.07212633497784861
6,sleep(t_sleep_before),py,3,1611428467.9270263,1611428471.931165,4.004140954988543,0.07212726798768697
20,sleep(t_sleep_before),py,10,1611429952.144765,1611429956.148891,4.004129781998927,0.07212706672673604
0,sleep(t_sleep_before),julia,0,1611427549.0056558,1611427553.0097446,4.004088703004527,0.07212632676386484
