,implementation,nb_threads,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
0,sleep(t_sleep_before),1,None,0,1611692455.4998753,1611692459.503969,4.004090159000043,0.039519723236103504
26,sleep(t_sleep_before),1,None,13,1611693252.9294405,1611693256.933537,4.004098080000404,0.03951980141509787
24,sleep(t_sleep_before),1,None,12,1611693212.5757625,1611693216.5798457,4.0040827020020515,0.039519649636737576
22,sleep(t_sleep_before),1,None,11,1611693168.0214565,1611693172.0255432,4.004084989999683,0.039519672218904706
20,sleep(t_sleep_before),1,None,10,1611693115.3019557,1611693119.3059797,4.004025360998639,0.03951908369029408
18,sleep(t_sleep_before),1,None,9,1611693038.0487487,1611693042.0528357,4.004088001998753,0.0395197019468491
17,nbabel5_threads.jl,1,julia,8,1611692919.2741287,1611693020.648285,101.37415316099941,1.0005465204653552
16,sleep(t_sleep_before),1,None,8,1611692913.2679338,1611692917.272026,4.004091052000149,0.03951973204987033
30,sleep(t_sleep_before),1,None,15,1611693328.0739646,1611693332.0780354,4.004072433999681,0.0395195482932124
28,sleep(t_sleep_before),1,None,14,1611693289.57369,1611693293.5777838,4.00409341699924,0.039519755392029426
12,sleep(t_sleep_before),1,None,6,1611692832.1792219,1611692836.1832988,4.004078268997546,0.03951960588369901
14,sleep(t_sleep_before),1,None,7,1611692870.5047367,1611692874.508831,4.004094610998436,0.039519767176608676
10,sleep(t_sleep_before),1,None,5,1611692794.956688,1611692798.960767,4.004077663001226,0.039519599902613195
1,nbabel5_threads.jl,1,julia,0,1611692461.506048,1611692562.8248312,101.3187803740002,1.0
2,sleep(t_sleep_before),1,None,1,1611692580.2536983,1611692584.2577846,4.00407474199892,0.03951957107279216
6,sleep(t_sleep_before),1,None,3,1611692709.9824858,1611692713.9866002,4.004115236999496,0.039519970751908176
4,sleep(t_sleep_before),1,None,2,1611692657.4313567,1611692661.4353921,4.004033664998133,0.03951916564942804
8,sleep(t_sleep_before),1,None,4,1611692754.578886,1611692758.5829506,4.0040663729996595,0.039519488472120994
19,nbabel5_threads.jl,2,julia,9,1611693044.05493,1611693100.48184,56.42690705700079,0.556924460092304
3,nbabel5_threads.jl,2,julia,1,1611692586.2598789,1611692642.6375303,56.37764870599858,0.5564382881227996
5,nbabel5_threads.jl,4,julia,2,1611692663.4374714,1611692695.8787796,32.441304903000855,0.3201904403433358
21,nbabel5_threads.jl,4,julia,10,1611693121.3080964,1611693153.97102,32.6629194950001,0.3223777405771246
23,nbabel5_threads.jl,6,julia,11,1611693174.027629,1611693198.9739912,24.94635893799932,0.24621653405138008
7,nbabel5_threads.jl,6,julia,3,1611692715.9886856,1611692740.8926961,24.904006969001784,0.24579852695692828
9,nbabel5_threads.jl,8,julia,4,1611692760.5850317,1611692781.5209703,20.935934844997973,0.20663429590957083
25,nbabel5_threads.jl,8,julia,12,1611693218.5819504,1611693239.4751914,20.893237890999444,0.20621288386887193
11,nbabel5_threads.jl,12,julia,5,1611692800.962853,1611692818.603772,17.64091474399902,0.17411297963596414
27,nbabel5_threads.jl,12,julia,13,1611693258.9356475,1611693276.2066162,17.27096550799979,0.17046164042092793
13,nbabel5_threads.jl,16,julia,6,1611692838.1853828,1611692857.1849656,18.999579569997877,0.18752278205347833
29,nbabel5_threads.jl,16,julia,14,1611693295.5798724,1611693314.5957906,19.01591527200071,0.18768401279414196
15,nbabel5_threads.jl,24,julia,7,1611692876.5109298,1611692893.6755466,17.164613734999875,0.1694119655965041
31,nbabel5_threads.jl,24,julia,15,1611693334.0801153,1611693351.2285714,17.148452559998987,0.16925245740916475
