,implementation,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
29,c++ nbabel.org,cpp,14,1612692438.8913295,1612693117.9628396,679.07150714,3.688544488548249
13,c++ nbabel.org,cpp,6,1612689009.8176641,1612689688.7169995,678.8993331670003,3.687609283120688
27,fortran nbabel.org,fortran,13,1612692049.0411587,1612692378.4069803,329.3658189759999,1.789031734546978
11,fortran nbabel.org,fortran,5,1612688618.105972,1612688949.2886693,331.1826951930002,1.7989005461318073
25,julia low-level,julia,12,1612691780.4463396,1612692016.2279513,235.7816109710002,1.280706011817414
9,julia low-level,julia,4,1612688349.799683,1612688585.2808847,235.48119985899984,1.279074254719941
1,julia optimized,julia,0,1612687349.1791391,1612687507.0395322,157.86039132300004,0.85745767603599
17,julia optimized,julia,8,1612690782.3896227,1612690940.2836087,157.89398310100023,0.8576401380687809
7,numba,py,3,1612688080.2328594,1612688292.7463775,212.513515653,1.1543196094403065
23,numba,py,11,1612691511.0367103,1612691723.6046348,212.5679224000005,1.1546151331144388
5,pypy map-improvements,py,2,1612687758.134996,1612688026.6773999,268.5424016200002,1.4586543317193699
21,pypy map-improvements,py,10,1612691188.6411834,1612691457.865032,269.2238456239993,1.46235576301015
3,pythran,py,1,1612687541.704974,1612687729.0500033,187.3450271879999,1.01761075266077
19,pythran,py,9,1612690975.3989508,1612691159.5017915,184.10283764999986,1.0
15,pythran high-level jit,py,7,1612689788.3166203,1612690756.8182135,968.5015900489998,5.26065541635067
31,pythran high-level jit,py,15,1612693217.547744,1612694184.369163,966.8214157869998,5.251529135173004
16,sleep(t_sleep_before),julia,8,1612690776.3834522,1612690780.387528,4.004077823999978,0.02174913692320256
14,sleep(t_sleep_before),py,7,1612689782.310443,1612689786.314524,4.004083840000021,0.021749169600591565
18,sleep(t_sleep_before),py,9,1612690969.3927867,1612690973.3968606,4.004065178000019,0.021749068233332697
12,sleep(t_sleep_before),cpp,6,1612689003.8115,1612689007.8155787,4.004081126000074,0.021749154858831023
20,sleep(t_sleep_before),py,10,1612691182.6350207,1612691186.6390877,4.004068354999617,0.021749085489990112
10,sleep(t_sleep_before),fortran,5,1612688612.0998104,1612688616.103888,4.004091006000181,0.021749208524490027
22,sleep(t_sleep_before),py,11,1612691505.0305154,1612691509.034607,4.004094244999578,0.021749226117914654
8,sleep(t_sleep_before),julia,4,1612688343.7934914,1612688347.7975807,4.004091865999953,0.021749213195791046
24,sleep(t_sleep_before),julia,12,1612691774.4401608,1612691778.4442325,4.004074357999343,0.021749118096764688
6,sleep(t_sleep_before),py,3,1612688074.2266784,1612688078.2307673,4.004095777999964,0.0217492344447846
26,sleep(t_sleep_before),fortran,13,1612692043.0349338,1612692047.0390368,4.00410662899958,0.021749293384667082
4,sleep(t_sleep_before),py,2,1612687752.1288462,1612687756.13291,4.004068123000025,0.021749084229827065
28,sleep(t_sleep_before),cpp,14,1612692432.8851302,1612692436.8892133,4.004087063000043,0.021749187107111632
2,sleep(t_sleep_before),py,1,1612687535.6988196,1612687539.7028964,4.004081099999894,0.02174915471760463
30,sleep(t_sleep_before),py,15,1612693211.5415237,1612693215.545656,4.004134570000133,0.021749445153107536
0,sleep(t_sleep_before),julia,0,1612687343.1728868,1612687347.1770098,4.004126535999944,0.021749401514452687
