,implementation,nb_threads,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
0,sleep(t_sleep_before),1,None,0,1611607014.2330906,1611607018.237179,4.0040872509998735,0.20112743204211944
26,sleep(t_sleep_before),1,None,13,1611607324.0109348,1611607328.01501,4.004076490000443,0.20112689151139523
24,sleep(t_sleep_before),1,None,12,1611607303.4627426,1611607307.4668105,4.004069671999787,0.20112654903959637
22,sleep(t_sleep_before),1,None,11,1611607282.334861,1611607286.3389378,4.004077118999703,0.20112692310636257
20,sleep(t_sleep_before),1,None,10,1611607260.0206628,1611607264.0247476,4.004086541000106,0.20112739637845353
18,sleep(t_sleep_before),1,None,9,1611607233.492759,1611607237.4968255,4.004067441000188,0.20112643697530005
17,nbabel5_threads.jl,1,julia,8,1611607205.7348092,1611607225.643023,19.908210483000403,1.0
16,sleep(t_sleep_before),1,None,8,1611607199.728667,1611607203.7327318,4.00405474299987,0.20112579914799109
30,sleep(t_sleep_before),1,None,15,1611607365.028146,1611607369.0322711,4.0041261309997935,0.2011293850051923
28,sleep(t_sleep_before),1,None,14,1611607343.926788,1611607347.93088,4.004090921999705,0.20112761643839325
12,sleep(t_sleep_before),1,None,6,1611607159.6356757,1611607163.6397505,4.004076269000507,0.20112688041045088
14,sleep(t_sleep_before),1,None,7,1611607180.4548075,1611607184.4588814,4.004076426000211,0.2011268882966295
10,sleep(t_sleep_before),1,None,5,1611607138.9235487,1611607142.9276273,4.004080274000444,0.20112708158372763
1,nbabel5_threads.jl,1,julia,0,1611607020.2392771,1611607040.1848104,19.94553029100007,1.0018745938029705
2,sleep(t_sleep_before),1,None,1,1611607048.1056914,1611607052.1097772,4.004074608999872,0.2011267970277362
6,sleep(t_sleep_before),1,None,3,1611607097.284463,1611607101.2885327,4.004071519999343,0.20112664186559684
4,sleep(t_sleep_before),1,None,2,1611607074.7803566,1611607078.784434,4.004079655000169,0.20112705049101462
8,sleep(t_sleep_before),1,None,4,1611607118.4704173,1611607122.4745016,4.004085683000085,0.20112735328065617
19,nbabel5_threads.jl,2,julia,9,1611607239.4989107,1611607252.1488726,12.649958949999927,0.6354141654671429
3,nbabel5_threads.jl,2,julia,1,1611607054.111859,1611607066.8422751,12.730412695000268,0.6394553998648322
5,nbabel5_threads.jl,4,julia,2,1611607080.7865226,1611607089.3953838,8.608858211000552,0.432427526238566
21,nbabel5_threads.jl,4,julia,10,1611607266.0268447,1611607274.537014,8.510166047999519,0.42747016640527985
23,nbabel5_threads.jl,6,julia,11,1611607288.3410292,1611607295.5810504,7.240018184999826,0.3636699637660587
7,nbabel5_threads.jl,6,julia,3,1611607103.2906141,1611607110.5774305,7.286813290999817,0.3660205068266692
9,nbabel5_threads.jl,8,julia,4,1611607124.4765875,1611607130.9981725,6.521581711000181,0.32758251760342555
25,nbabel5_threads.jl,8,julia,12,1611607309.4688926,1611607316.113651,6.644755061999604,0.3337695805292772
11,nbabel5_threads.jl,12,julia,5,1611607144.9297287,1611607151.7530339,6.82330150999951,0.34273806356557857
27,nbabel5_threads.jl,12,julia,13,1611607330.0170536,1611607336.1164043,6.099348011000075,0.3063734943031821
13,nbabel5_threads.jl,16,julia,6,1611607165.6418335,1611607172.4460115,6.804175752999981,0.34177736662017205
29,nbabel5_threads.jl,16,julia,14,1611607349.9329765,1611607356.8791566,6.946176846000526,0.3489101570395721
15,nbabel5_threads.jl,24,julia,7,1611607186.4609756,1611607192.7665954,6.30561661899992,0.3167344761792768
31,nbabel5_threads.jl,24,julia,15,1611607371.0343525,1611607377.4765344,6.442178292999415,0.3235940416895021
