,implementation,nb_threads,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
0,sleep(t_sleep_before),1,None,0,1612649554.21339,1612649558.2175336,4.004148364999992,0.01073404575419097
18,sleep(t_sleep_before),1,None,9,1612651206.8479905,1612651210.8521268,4.004138510999837,0.010734019338264565
16,sleep(t_sleep_before),1,None,8,1612651093.684462,1612651097.6885798,4.0041180959999565,0.010733964611135894
14,sleep(t_sleep_before),1,None,7,1612650886.8278716,1612650890.8319635,4.004094573999964,0.01073390155497485
13,nbabel5_threads.jl,1,py,6,1612650497.2335527,1612650870.266096,373.032541196,1.0
12,sleep(t_sleep_before),1,None,6,1612650491.2273011,1612650495.231432,4.004133274999958,0.01073400530195593
22,sleep(t_sleep_before),1,None,11,1612651354.9718657,1612651358.9759545,4.0040917960000115,0.010733894107903492
20,sleep(t_sleep_before),1,None,10,1612651289.2764149,1612651293.2805078,4.004093656999885,0.010733899096744057
10,sleep(t_sleep_before),1,None,5,1612650419.9601717,1612650423.9642599,4.0040877910000745,0.010733883371574902
6,sleep(t_sleep_before),1,None,3,1612650271.668085,1612650275.67216,4.00406588099986,0.010733824636752081
4,sleep(t_sleep_before),1,None,2,1612650158.7740457,1612650162.7781332,4.0040900279999505,0.010733889368370435
2,sleep(t_sleep_before),1,None,1,1612649950.729718,1612649954.7338343,4.004118716000107,0.010733966273189689
1,nbabel5_threads.jl,1,py,0,1612649560.2196798,1612649933.9117157,373.692032761,1.0017679196642888
8,sleep(t_sleep_before),1,None,4,1612650354.0566688,1612650358.0607984,4.0041319990000375,0.010734001881343035
3,nbabel5_threads.jl,2,py,1,1612649956.7359457,1612650147.0819297,190.345982757,0.51026642916117
15,nbabel5_threads.jl,2,py,7,1612650892.8340824,1612651082.0094306,189.17534434499998,0.507128262157705
5,nbabel5_threads.jl,4,py,2,1612650164.780187,1612650261.7041554,96.92396435399996,0.2598271025987351
17,nbabel5_threads.jl,4,py,8,1612651099.6906643,1612651196.876866,97.18619763399988,0.26053007955393354
7,nbabel5_threads.jl,6,py,3,1612650277.6742513,1612650344.9135475,67.23929242700001,0.1802504741581537
19,nbabel5_threads.jl,6,py,9,1612651212.8542461,1612651280.0514362,67.19718678999993,0.18013760026016862
9,nbabel5_threads.jl,8,py,4,1612650360.062892,1612650411.5836067,51.52071052700012,0.13811318005077186
21,nbabel5_threads.jl,8,py,10,1612651295.2826066,1612651346.5728402,51.2902297200003,0.13749532294302233
11,nbabel5_threads.jl,12,py,5,1612650425.966352,1612650462.3614857,36.395130004000066,0.09756556328118628
23,nbabel5_threads.jl,12,py,11,1612651360.9780748,1612651397.8950152,36.916937509000036,0.09896438897968157
