,implementation,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
31,c++ nbabel.org,cpp,15,1612351356.2716055,1612352185.7624817,829.4908714760004,3.730792533031844
13,c++ nbabel.org,cpp,6,1612346083.774868,1612346910.8050222,827.0301496989996,3.719724970087881
29,fortran nbabel.org,fortran,14,1612350894.1626215,1612351295.7599964,401.59737228800077,1.8062603572131444
11,fortran nbabel.org,fortran,5,1612345620.932665,1612346023.0834208,402.1507520590003,1.8087492876987834
27,julia nbabel.org,julia,13,1612350462.8708565,1612350861.3453965,398.4745367510004,1.7922148120432546
9,julia nbabel.org,julia,4,1612345189.587809,1612345588.094087,398.5062745969999,1.7923575590257002
1,julia optimized,julia,0,1612344038.7098234,1612344230.0446072,191.33478041099988,0.8605644674503198
19,julia optimized,julia,9,1612349313.5214603,1612349505.012117,191.49065243199948,0.8612655314307095
25,numba,py,12,1612350172.0848014,1612350426.5164335,254.43162814400057,1.1443545083958602
7,numba,py,3,1612344899.4886594,1612345153.2909977,253.8023347799999,1.1415241421263407
17,pypy,py,8,1612348270.9119477,1612349287.9129317,1017.000979329001,4.574154810185259
35,pypy,py,17,1612353547.4384007,1612354542.9072664,995.4688624739993,4.477310030398754
23,pypy map-improvements,py,11,1612349791.1250806,1612350118.9591014,327.834017823001,1.4744956790079249
5,pypy map-improvements,py,2,1612344516.5324094,1612344843.5178957,326.9854830919994,1.4706792331044205
3,pythran,py,1,1612344264.9102924,1612344487.4732103,222.56291704100022,1.0010189353245624
21,pythran,py,10,1612349539.7130976,1612349762.0494714,222.33637065900075,1.0
33,pythran high-level jit,py,16,1612352285.5792363,1612353464.8234015,1179.244161722001,5.303874297429359
15,pythran high-level jit,py,7,1612347012.973284,1612348188.8835356,1175.9102471670003,5.2888793843383555
32,sleep(t_sleep_before),py,16,1612352279.5730271,1612352283.577152,4.004126977999476,0.018009320589930117
2,sleep(t_sleep_before),py,1,1612344258.9080002,1612344262.9081876,4.000187618000382,0.01799160257111287
30,sleep(t_sleep_before),cpp,15,1612351350.26537,1612351354.269469,4.004101307000383,0.018009205129742394
28,sleep(t_sleep_before),fortran,14,1612350888.15642,1612350892.1605227,4.004093097000805,0.01800916820371201
4,sleep(t_sleep_before),py,2,1612344510.5262065,1612344514.5303123,4.004107192999982,0.01800923160314205
26,sleep(t_sleep_before),julia,13,1612350456.8646293,1612350460.868734,4.004105878000701,0.018009225688683357
12,sleep(t_sleep_before),cpp,6,1612346077.7686381,1612346081.7727334,4.004095156999938,0.018009177468948857
10,sleep(t_sleep_before),fortran,5,1612345614.9264798,1612345618.9305804,4.004103051000129,0.01800921297371206
22,sleep(t_sleep_before),py,11,1612349785.1187875,1612349789.1229558,4.004170821001026,0.018009517782145764
20,sleep(t_sleep_before),py,10,1612349533.7069275,1612349537.7110045,4.004079553998963,0.018009107291492382
6,sleep(t_sleep_before),py,3,1612344893.4824462,1612344897.4865227,4.004068306999216,0.018009056705977675
18,sleep(t_sleep_before),julia,9,1612349307.515291,1612349311.5193741,4.004086120001375,0.018009136823333674
34,sleep(t_sleep_before),py,17,1612353541.4355128,1612353545.4363172,4.000805183000921,0.017994380186843073
16,sleep(t_sleep_before),py,8,1612348264.9057314,1612348268.9098244,4.004092810999282,0.018009166917365916
14,sleep(t_sleep_before),py,7,1612347006.9670718,1612347010.971195,4.004123484999582,0.018009304879500535
8,sleep(t_sleep_before),julia,4,1612345183.5815918,1612345187.5857215,4.0041311839995615,0.0180093395072133
24,sleep(t_sleep_before),py,12,1612350166.0785751,1612350170.0826719,4.0040995350009325,0.018009197159838754
0,sleep(t_sleep_before),julia,0,1612344032.7036393,1612344036.7077265,4.004088677999789,0.018009148328416744
